listing_id,addr,lat,lng,business_type,transaction_type,sale_price,key_money,deposit,monthly_rent,maintenance_fee,size_m2,floor,flpop_type,trdar_cd,adstrd_cd,deposit_만원,monthly_rent_만원,size_평,flpop_lunch,flpop_dinner,flpop_etc,cnt_academy,cnt_hospital,cnt_school,cnt_company,dist_station,dist_bus_stop,cnt_crosswalk,is_road,floor_score,cnt_banapresso,cnt_high_cafe,cnt_low_cafe,cnt_etc_cafe,actual_rent,rent_index,startup_cost,coverage,rent_score,capital_score,cost_score,location_score,recom_score
878077,서울특별시 강남구 논현동,37.5073559623137,127.02608045966,한식/고기집,월세,0,50000000,50000000,5000000,250000,88.23,1.0,T,3120187,11680521,5000.0,500.0,26.7,589152.0,788268.0,560948.125,0,0,1,0,579.8157154962722,235.98529481752072,10,1,1.0,0,4,2,30,5250000,0.9769005458660631,122378336.36363636,0.9805657076709284,9.45141065830721,14.708485615063926,24.15989627337114,0.905716143015378,92.08860699952447
878011,서울특별시 강남구 논현동,37.5148576776,127.0314541949,퓨전/쌀국수,월세,0,100000000,70000000,7900000,0,274.95,-1.0,T,3120191,11680531,7000.0,790.0,83.2,378147.0,391751.0,381067.3125,0,2,0,0,72.29353569326972,101.46794193002033,10,1,0.6,0,1,1,23,7900000,1.585338801619851,239737318.1818182,0.5005478534175948,9.109735404263034,7.508217801263922,16.617953205526955,0.8457054064662992,80.0458586904994
863242,서울특별시 강남구 논현동,37.507261451658,127.024370459235,사무실,월세,0,0,25000000,1900000,500000,100.76,3.0,T,3120187,11680521,2500.0,190.0,30.5,589152.0,788268.0,560948.125,0,1,1,0,499.033428736661,114.50801342045284,13,0,0.6,0,5,5,31,2400000,0.44658310668162887,50556400.0,1.0,9.74921630094044,15.0,24.74921630094044,0.7750589979926884,82.87864115039207
877697,서울특별시 서초구 반포동,37.5091652265931,127.020857745851,카페/커피,월세,0,30000000,30000000,3400000,200000,69.42,5.0,T,3120176,11650560,3000.0,340.0,21.0,207573.5,269048.0,346445.0625,0,3,0,0,236.64777586863855,97.59386150139886,10,1,0.19999999999999996,0,4,4,26,3600000,0.6032556654963294,77607436.36363636,1.0,9.661235087023433,15.0,24.661235087023435,0.654532966442937,73.75120757024371
877694,서울특별시 서초구 잠원동,37.5112598734,127.0193186085,기타주점,월세,0,10000000,60000000,5200000,0,264.46,-1.0,T,3120185,11650540,6000.0,520.0,80.0,388874.5,478718.0,397097.625,0,2,0,0,207.83616216270883,66.35078417415627,14,0,0.6,0,2,4,35,5200000,1.1566979733069698,137076672.72727272,0.8754224742436781,9.350443417808414,13.131337113655173,22.481780531463585,0.7801085695945063,80.98992325105155
876571,서울특별시 강남구 논현동,37.5191469344,127.029596327,카페/커피,월세,0,25000000,10000000,1500000,0,16.53,1.0,T,3120190,11680531,1000.0,150.0,5.0,265091.5,267129.0,233949.25,0,2,0,0,572.9199188185415,96.89950400674937,15,0,1.0,0,1,2,18,1500000,0.3010136965100983,39192609.09090909,1.0,9.830962418530957,15.0,24.83096241853096,0.7316300841742922,79.70321873160287
877517,서울특별시 강남구 논현동,37.5109810821791,127.02600085002,기타,월세,0,0,200000000,20000000,0,429.99,1.0,T,3110952,11680521,20000.0,2000.0,130.1,24209.75,30471.75,38946.9375,0,2,1,0,386.41401801673106,244.691238745098,5,1,1.0,0,0,3,30,20000000,3.721525889013574,309061100.0,0.3882727395974453,7.910135841170324,5.8240910939616795,13.734226935132003,0.5381534546420779,54.09573603328785
790037,서울특별시 강남구 논현동,37.5091545258,127.0226975963,사무실,월세,0,0,50000000,5000000,500000,99.17,12.0,T,3120185,11680521,5000.0,500.0,30.0,388874.5,478718.0,397097.625,0,2,0,0,244.98207367802968,34.183519330584,12,1,0.0,0,4,2,29,5500000,1.0234196194787328,75153118.18181819,1.0,9.425287356321839,15.0,24.42528735632184,0.7124056691833887,77.85571254507599
864398,서울특별시 강남구 논현동,37.5142855148,127.0404214081,카페/커피,월세,0,30000000,20000000,2200000,0,31.59,1.0,T,3110968,11680531,2000.0,220.0,9.6,44561.0,47293.25,40385.9375,1,0,1,0,331.6510785839499,178.78488354812603,7,0,1.0,0,0,1,17,2200000,0.4414867548814775,58012372.72727273,1.0,9.752078213845403,15.0,24.7520782138454,0.47697855412461054,60.52546977319119
419277,서울특별시 강남구 논현동,37.5109350019529,127.022218565558,일식/해산물,월세,0,70000000,30000000,2300000,100000,52.9,1.0,T,3120185,11680521,3000.0,230.0,16.0,388874.5,478718.0,397097.625,0,5,0,0,57.7641849465931,49.24040289180498,16,1,1.0,0,3,4,32,2400000,0.44658310668162887,113417363.63636364,1.0,9.74921630094044,15.0,24.74921630094044,0.9313470943825208,94.6002483796295
822490,서울특별시 강남구 논현동,37.5082296052,127.0325055245,중식,월세,0,70000000,40000000,2200000,100000,39.9,-1.0,T,3120194,11680521,4000.0,220.0,12.1,319506.5,309264.5,303520.875,1,3,0,0,180.37933101866315,81.99219941173439,15,0,0.6,0,1,3,18,2300000,0.427975477236561,120120090.9090909,0.9990002429386955,9.759665621734587,14.985003644080432,24.74466926581502,0.7031616367222929,77.48179201998698
585329,서울특별시 강남구 논현동,37.5072440303,127.0245247227,사무실,월세,0,0,32000000,2200000,300000,92.6,4.0,T,3120187,11680521,3200.0,220.0,28.0,589152.0,788268.0,560948.125,0,1,1,0,507.45980924201723,120.34330394921884,13,0,0.3999999999999999,0,5,5,32,2500000,0.46519073612669676,55486727.272727266,1.0,9.738766980146291,15.0,24.73876698014629,0.7224795062140413,78.92472994619939
871878,서울특별시 강남구 신사동,37.519003936,127.0245240463,기타,월세,0,30000000,20000000,2500000,0,115.7,-1.0,T,3120186,11680510,2000.0,250.0,35.0,373769.5,469697.75,332457.375,0,2,0,0,469.45041879921416,109.87922187185131,4,0,0.6,0,1,2,28,2500000,0.44215232678240446,79345727.27272728,1.0,9.751704454558928,15.0,24.751704454558926,0.7735302314740663,82.7664718151139
843894,서울특별시 강남구 논현동,37.5107654721,127.0229559655,미용/네일/피부관리,월세,0,30000000,20000000,1530000,300000,59.5,3.0,T,3120185,11680521,2000.0,153.0,18.0,388874.5,478718.0,397097.625,0,5,0,0,124.90564268362311,77.53214634515699,12,0,0.6,0,3,2,37,1830000,0.340519618844742,65091363.63636364,1.0,9.808777429467085,15.0,24.808777429467085,0.7632026371312985,82.04897521431448
