road_address,lng,lat,type
서울 서초구 강남대로61길,127.02517645592,37.4989664446191,도로노선
서울 강남구 강남대로62길,127.033088365932,37.4906059427416,도로노선
서울 서초구 강남대로65길,127.024998130473,37.5003666460528,도로노선
서울 강남구 강남대로66길,127.032382844859,37.4920771229315,도로노선
서울 서초구 강남대로69길,127.024810181185,37.5017536942221,도로노선
서울 서초구 강남대로6길,127.044601498117,37.4687575505662,도로노선
서울 강남구 강남대로78길,127.030896819725,37.4951977083726,도로노선
서울 서초구 강남대로79길,127.022624741104,37.5046023018691,도로노선
서울 서초구 강남대로83길,127.021874002053,37.5057512250501,도로노선
서울 강남구 강남대로84길,127.030112343845,37.4968291835687,도로노선
서울 서초구 강남대로85길,127.022188352044,37.5074481194258,도로노선
서울 서초구 강남대로89길,127.020927451,37.5092849577889,도로노선
서울 서초구 강남대로8길,127.043410046439,37.4691772345931,도로노선
서울 서초구 강남대로91길,127.019915894542,37.5119985977772,도로노선
서울 강남구 강남대로92길,127.029068978954,37.4990490742023,도로노선
서울 서초구 강남대로93길,127.019414775997,37.5126737135728,도로노선
서울 강남구 강남대로94길,127.031550583518,37.5003869722048,도로노선
서울 서초구 강남대로95길,127.017761111798,37.5130901476182,도로노선
서울 강남구 강남대로96길,127.027857635067,37.4998106261908,도로노선
서울 서초구 강남대로97길,127.017990032235,37.5144499983244,도로노선
서울 강남구 강남대로98길,127.027708363414,37.5007457253818,도로노선
서울 서초구 강남대로99길,127.017930210643,37.5149827710053,도로노선
서울 관악구 강남순환로,126.951680770434,37.4708475147858,도로노선
서울 관악구 강남순환로,126.951680770434,37.4708475147858,도로노선
서울 동작구 강남초등2길,126.95143878586,37.5064094718473,도로노선
서울 동작구 강남초등4길,126.951498992541,37.5056516611768,도로노선
서울 동작구 강남초등6길,126.951450060776,37.5054156678154,도로노선
서울 동작구 강남초등8길,126.95151739,37.5051850381293,도로노선
서울 동작구 강남초등길,126.952157319194,37.5060336855236,도로노선
서울 강동구 강동대로,127.133033166531,37.5217926052628,도로노선
서울 송파구 강동대로2길,127.112204030498,37.525937305079,도로노선
서울 송파구 강동대로3길,127.11487056171,37.5281339962721,도로노선
