addr,type,lat,lng
서울특별시 중랑구 면목로 지하407(면목동) ,지하철,37.5883848968931,127.087567841531
서울특별시 중랑구 사가정로 지하393(면목동),지하철,37.5807945533834,127.088439058456
서울특별시 중랑구 용마산로 지하227(면목동),지하철,37.5740302107904,127.087038114766
서울특별시 광진구 능동로 지하417(중곡동),지하철,37.5655258842084,127.084072412789
서울특별시 광진구 천호대로 지하550(능동),지하철,37.5573631939521,127.079017279019
서울특별시 광진구 능동로 지하210(화양동),지하철,37.547871203305,127.074549925093
서울특별시 광진구 능동로 지하110(화양동),지하철,37.5408416053893,127.07104643853
서울특별시 광진구 능동로 10(자양동),지하철,37.5317034538759,127.066765925738
서울특별시 강남구 학동로 지하508(청담동),지하철,37.5194585308732,127.05376714677
서울특별시 강남구 학동로 지하346(삼성동),지하철,37.5171892352971,127.04130142966
서울특별시 강남구 학동로 지하180(논현동),지하철,37.5142064294604,127.031463762217
서울특별시 강남구 학동로 지하102(논현동),지하철,37.5111988300765,127.021657861669
서울특별시 서초구 신반포로 지하241(잠원동),지하철,37.5081263886404,127.011497032246
서울특별시 서초구 신반포로 지하188(반포동),지하철,37.5049267445237,127.004949918697
서울특별시 서초구 서초대로 지하103(방배동),지하철,37.487533528504,126.993190309509
서울특별시 동작구 사당로 지하310(사당동),지하철,37.485015143952,126.981021812089
서울특별시 동작구 사당로 지하218(사당동),지하철,37.4844433924857,126.971706096071
서울특별시 동작구 상도로 지하378(상도동),지하철,37.4958143308836,126.954060246067
서울특별시 동작구 상도로 지하272(상도1동),지하철,37.5032080456431,126.947700373641
서울특별시 동작구 상도로 지하188(상도동) ,지하철,37.5046658024741,126.938744364462
서울특별시 동작구 상도로 지하76(대방동),지하철,37.4997218266711,126.928222967016
서울특별시 동작구 상도로 지하2(대방동),지하철,37.499910050321,126.920489390309
서울특별시 영등포구 신풍로 지하27(신길동),지하철,37.5001172036762,126.909841656125
서울특별시 영등포구 도림로 지하137(대림동),지하철,37.4927430722225,126.896611839343
서울특별시 구로구 도림로 지하7(구로동) ,지하철,37.4861618372855,126.887341021559
서울특별시 금천구 벚꽃로 309(가산동),지하철,37.4815957375443,126.882559483336
서울특별시 구로구 오리로 지하1154(천왕동),지하철,37.4868219430207,126.838713741162
서울특별시 구로구 경인로3길 지하64(온수동),지하철,37.4921502838112,126.823380714316
서울특별시 강동구 올림픽로 지하776(암사동),지하철,37.5501403417224,127.127540246626
서울시 강동구 아리수로 27번길 2,지하철,,
서울특별시 강동구 천호대로 지하997(천호동),지하철,37.5385789820645,127.123742434482
서울특별시 강동구 올림픽로 지하550(성내동),지하철,37.5306740877124,127.12057605164
서울특별시 송파구 올림픽로 지하383(신천동),지하철,37.5176236317445,127.112429917071
서울특별시 송파구 올림픽로 305(신천동),지하철,37.5149771693164,127.10421637903
서울특별시 송파구 송파대로 지하439(석촌동),지하철,37.5059496431187,127.106345349428
서울특별시 송파구 송파대로 지하354(가락동),지하철,37.4996866748478,127.112179893361
서울특별시 송파구 송파대로 지하257(가락동),지하철,37.4927440321316,127.118485741487
서울특별시 송파구 송파대로 지하179(문정동),지하철,37.4862618233383,127.122290332976
서울특별시 송파구 송파대로 지하82(장지동),지하철,37.4781192050612,127.126424204036
서울특별시 송파구 송파대로 지하6(장지동),지하철,37.4710560005054,127.126771228018
서울특별시 강남구 봉은사로 지하201(논현동),지하철,37.5074454982119,127.034284713238
서울특별시 강남구 선릉로 지하580(삼성동),지하철,37.5108538860091,127.043641042222
서울특별시 강남구 봉은사로 지하501(삼성동),지하철,37.5128830348855,127.052705651591
서울특별시 강남구 봉은사로 지하601(삼성동),지하철,37.5143606191744,127.060891874786
서울특별시 송파구 올림픽로 49(잠실동),지하철,37.5114806299192,127.076008084574
서울특별시 송파구 백제고분로 지하189(잠실동),지하철,37.504501913851,127.087445571156
서울특별시 송파구 백제고분로 지하274(삼전동),지하철,37.5024703189666,127.096703734242
서울특별시 송파구 송파대로 지하439(석촌동),지하철,37.5059496431187,127.106345349428
서울특별시 송파구 백제고분로 지하446(방이동),지하철,37.5106316985927,127.112393866995
서울특별시 송파구 위례성대로 지하29(방이동),지하철,37.5164647953901,127.116303251765
서울특별시 송파구 양재대로 지하1233(방이동),지하철,37.5160876492782,127.130600140827
서울특별시 강동구 강동대로 지하303(둔촌동),지하철,37.5194090259388,127.138423684558
서울특별시 강동구 동남로 지하625(둔촌동),지하철,37.5288957241892,127.148541966332
