bus_stop_id,bus_stop_nm,lng,lat,type
1722,성균관대학교,126.996646,37.584886,버스정류장
1723,참샘골공원,126.9742524976,37.6146097003,버스정류장
1724,황학정앞,126.9653293849,37.5768126115,버스정류장
1725,종로5가역.중부교육지원청,127.0020898456,37.5714192458,버스정류장
1727,인사동들머리.3.1독립선언터,126.983296967,37.5719470235,버스정류장
1728,정독도서관,126.980080541,37.5802605382,버스정류장
1729,오거리.한옥마을입구,126.9697392663,37.5794684375,버스정류장
1732,평창공원지킴터입구,126.9757438761,37.6163963984,버스정류장
1733,창경궁.고궁호텔.메이플레이스호텔,126.9974492169,37.5765581609,버스정류장
1762,광화문,126.9755694982,37.5703374879,버스정류장
1763,종로1가,126.980129,37.57037,버스정류장
1766,종로2가,126.9864618183,37.5700824558,버스정류장
1767,종로3가역11번출구,126.9932082199,37.5706348964,버스정류장
1768,종로3가,126.9909932186,37.5701024255,버스정류장
1769,종로4가,126.9962507486,37.5704692645,버스정류장
1771,동대문종합시장.종로6가,127.0032911936,37.5708647997,버스정류장
1776,종로도서관,126.9671251598,37.5764842271,버스정류장
1777,경복궁역,126.9715056448,37.5761780936,버스정류장
1778,경복궁역7번출구,126.971681974,37.5758191735,버스정류장
1779,안국역,126.985229602,37.5766137515,버스정류장
1780,안국역,126.9855059829,37.5763185096,버스정류장
1781,창덕궁,126.9889000774,37.5775204226,버스정류장
1782,성대입구,126.9992357955,37.5832827975,버스정류장
1790,종로사우나,126.9877503526,37.5738011149,버스정류장
1791,홍지파크,126.9557163281,37.6012424257,버스정류장
1792,삼청파출소,126.9813258198,37.58164517,버스정류장
1793,통인시장.종로구보건소,126.9687504797,37.5803350289,버스정류장
1794,종로5가역.광장시장,127.000038992,37.5707724724,버스정류장
1795,평창동산림제3초소,126.9771030504,37.6173560499,버스정류장
1796,배화여중고,126.9676986337,37.5767787564,버스정류장
1797,대학로입구.이화사거리,127.0025801998,37.5759841652,버스정류장
1798,운현궁,126.9869813803,37.5752716136,버스정류장
1799,상명대입구,126.9569583018,37.6000210109,버스정류장
1800,삼청동주민센터,126.9822105151,37.5846846831,버스정류장
1801,박노수미술관,126.9668944502,37.5810265604,버스정류장
1802,김창열.윤명로화실,126.9783685436,37.616304998,버스정류장
1803,사직공원.경복궁역입구,126.9689039095,37.5762206893,버스정류장
1804,충신시장,127.005404874,37.5749766498,버스정류장
1805,안국역2번출구앞,126.9861183272,37.5771728174,버스정류장
1807,금융연수원,126.981847891,37.5858776706,버스정류장
1809,감람산기도원,126.9798729651,37.6159439291,버스정류장
1810,카센터.사직터널앞,126.9658895166,37.57409862,버스정류장
1812,재동초등학교,126.9853617134,37.578791085,버스정류장
1814,삼청공원삼거리.옥호정터,126.9817444742,37.5874185176,버스정류장
1815,이화사거리,127.0022812884,37.5753200672,버스정류장
1816,연화정사,126.9794938432,37.6146490046,버스정류장
1817,대신중고,126.9616893251,37.5726178078,버스정류장
1819,현대사거리,126.9866353642,37.5792417814,버스정류장
1820,교남동주민센터,126.9613278115,37.5721819807,버스정류장
1821,부암동주민센터.무계원,126.9637682263,37.5929353403,버스정류장
1823,형제봉입구,126.9816861503,37.6128643152,버스정류장
1824,교남동새마을금고,126.962337459,37.5714943551,버스정류장
1825,창신초교,127.0157200961,37.5760372123,버스정류장
1826,가회동주민센터,126.9851293823,37.5799426497,버스정류장
1827,볼링장,126.9879589184,37.5792554401,버스정류장
1829,석파정.서울미술관,126.9637824182,37.5947643228,버스정류장
1830,지구촌교회,126.9792421489,37.6131060324,버스정류장
1831,월암공원,126.9646918774,37.5712260916,버스정류장
1832,숭인1동주민센터,127.0155607478,37.5774150014,버스정류장
