idx,node_id,node_type_code,lon,lat,sigungu_code,sigungu_name,emd_code,emd_name
231,86163,0,126.9812557,37.57027354,1111000000,종로구,1111012600,종로1가
232,86164,2,126.9814449,37.57026886,1111000000,종로구,1111012600,종로1가
233,167185,0,126.9743198,37.56998675,1111000000,종로구,1111012000,신문로1가
234,86964,0,126.9878505,37.5699161,1111000000,종로구,1111013800,종로2가
235,97977,0,126.9850988,37.58021765,1111000000,종로구,1111014600,가회동
236,86842,0,126.9826897,37.56997959,1111000000,종로구,1111012300,서린동
237,86846,0,126.9831687,37.56997024,1111000000,종로구,1111013500,관철동
238,167183,0,126.9741553,37.56951232,1111000000,종로구,1111012000,신문로1가
239,86847,0,126.9832011,37.57041739,1111000000,종로구,1111013800,종로2가
240,86848,0,126.9827931,37.57043615,1111000000,종로구,1111012600,종로1가
241,86872,0,126.9828949,37.57185021,1111000000,종로구,1111012700,공평동
242,86875,0,126.9832011,37.57035149,1111000000,종로구,1111013800,종로2가
243,86876,0,126.9832809,37.57044799,1111000000,종로구,1111013800,종로2가
244,167182,0,126.9727776,37.56950962,1111000000,종로구,1111012000,신문로1가
245,86877,0,126.9832544,37.5700691,1111000000,종로구,1111013500,관철동
246,86892,0,126.982616,37.56917002,1111000000,종로구,1111012300,서린동
247,86893,0,126.9829619,37.56914889,1111000000,종로구,1111013500,관철동
248,167180,0,126.9741314,37.56933829,1111000000,종로구,1114016700,정동
249,160478,0,127.0140365,37.5726672,1111000000,종로구,1111017400,창신동
250,160473,0,127.0123342,37.57191675,1111000000,종로구,1111017400,창신동
251,167178,0,126.9746135,37.5695005,1111000000,종로구,1111012000,신문로1가
252,167177,0,126.9746135,37.56935746,1111000000,종로구,1111012000,신문로1가
253,152915,0,127.0092404,37.57158634,1111000000,종로구,1111016400,종로6가
254,84464,0,126.982791,37.57391418,1111000000,종로구,1111012900,견지동
255,84484,0,126.9662631,37.56638714,1111000000,종로구,1111017700,평동
256,95486,0,127.0017491,37.57064792,1111000000,종로구,1111016300,종로5가
257,86229,0,126.9827991,37.57011139,1111000000,종로구,1111012600,종로1가
258,93326,0,126.9980507,37.56922791,1111000000,종로구,1111015800,예지동
259,167116,0,126.9672458,37.58356923,1111000000,종로구,1111010200,신교동
260,168882,0,126.9976432,37.57576438,1111000000,종로구,1111015900,원남동
261,168880,0,126.9970666,37.57584909,1111000000,종로구,1111015900,원남동
262,14178,0,127.0188251,37.57382673,1111000000,종로구,1111017500,숭인동
263,14182,1,127.0173445,37.57333675,1111000000,종로구,1111017500,숭인동
264,96618,0,126.9742541,37.56955525,1111000000,종로구,1111012000,신문로1가
265,99,0,126.9932451,37.57254091,1111000000,종로구,1111015200,봉익동
266,93263,0,126.9922294,37.56862094,1111000000,종로구,1111015500,관수동
267,130,0,126.9707678,37.5815258,1111000000,종로구,1111011100,옥인동
268,132,0,126.9707782,37.58144461,1111000000,종로구,1111010800,통인동
269,133,0,126.9932195,37.57267233,1111000000,종로구,1111015200,봉익동
270,93307,0,126.9970742,37.57058755,1111000000,종로구,1111016100,종로4가
271,10423,0,127.0231021,37.57525574,1111000000,종로구,1111017500,숭인동
272,93317,0,126.9977668,37.5700963,1111000000,종로구,1111015800,예지동
273,11,0,126.9760255,37.57548446,1111000000,종로구,1111011900,세종로
274,39,0,126.9983463,37.58974215,1111000000,종로구,1111017000,명륜1가
275,93330,0,126.997823,37.56907023,1111000000,종로구,1111015800,예지동
276,93336,0,126.9945876,37.56871226,1111000000,종로구,1111015400,장사동
277,93337,0,126.9953002,37.56875466,1111000000,종로구,1111015400,장사동
278,93338,0,126.995309,37.56867229,1111000000,종로구,1111015400,장사동
279,185901,0,127.0018165,37.57131072,1111000000,종로구,1111016300,종로5가
