idx,dtlstatenm,nm,type,addr,lat,lng
154,영업중,왕십리휴병원,병원,"서울특별시 동대문구 무학로 88 (용두동, 지하2~지상8층)",37.5721224568918,127.031273373243
155,영업중,멘토스병원,병원,서울특별시 동대문구 한천로 49 (답십리동),37.5665654319352,127.061619144834
156,영업중,경희대학교병원,병원,서울특별시 동대문구 경희대로 23 (회기동),37.5937762050989,127.050741696591
157,영업중,서울에이스요양병원,병원,서울특별시 동대문구 고산자로 379 (용두동),37.5736476693503,127.037720235728
158,영업중,경희대학교치과병원,병원,"서울특별시 동대문구 경희대로 23 (회기동, 경희의료원)",37.5937762050989,127.050741696591
159,영업중,서울성심병원,병원,"서울특별시 동대문구 왕산로 259, 서울성심병원 (청량리동)",37.5841890473051,127.049819830411
160,영업중,솔라시도한방병원,병원,"서울특별시 동대문구 고산자로32길 78, 305-323호 (용두동, 청량리역한양수자인그라시엘)",,
161,영업중,지혜병원,병원,서울특별시 동대문구 천호대로 421 (장안동),37.561626817119,127.065927224471
162,영업중,대한민국요양병원,병원,"서울특별시 동대문구 장한로 200 (장안동, KS빌딩)",37.5782947193958,127.072483976271
163,영업중,엔플러스병원,병원,"서울특별시 동대문구 장한로32길 7, 장안동의료시설 (장안동)",37.5754686901664,127.072583233437
165,영업중,삼육치과병원,병원,서울특별시 동대문구 망우로 82 (휘경동),37.5862119387672,127.06355328121
166,영업중,서울정병원,병원,"서울특별시 중랑구 면목로 310, 4,5,6,7층일부층 (면목동)",,
176,영업중,경동한방병원,병원,"서울특별시 중랑구 망우로 400, 2층~3층(201호~204호,301호~304호) (망우동)",37.5987572807336,127.096589961709
177,영업중,연세산돌병원,병원,"서울특별시 중랑구 봉우재로 234, 연세산돌병원 지하1층~7층 (망우동)",37.5951721459585,127.098876946116
178,영업중,서울라본병원,병원,서울특별시 중랑구 망우로 476 (망우동),37.6003118821631,127.105093670612
179,영업중,강북21세기병원,병원,서울특별시 중랑구 면목로 473 (상봉동),37.5940484210525,127.085631420521
180,영업중,디앤에프병원,병원,"서울특별시 중랑구 봉화산로 64 (중화동, 디엔에프병원)",37.6014874991796,127.0814933261
186,영업중,의료법인 어울림의료재단 정성요양병원,병원,"서울특별시 구로구 남부순환로107길 24, 정성요양병원 (가리봉동)",37.4795289124601,126.894596686847
187,영업중,팔팔병원,병원,"서울특별시 중랑구 동일로 679 (면목동, 88병원)",37.5909406409469,127.07969838544
188,영업중,마인드웰병원,병원,"서울특별시 중랑구 망우로 403, 삼부빌딩 5~7층 (망우동)",37.5994577479171,127.096874533303
189,영업중,의료법인한국의료재단프라임병원,병원,서울특별시 중랑구 공릉로 76 (묵동),37.6172283555794,127.07946003191
191,영업중,서울특별시서울의료원,병원,서울특별시 중랑구 신내로 156 (신내동),37.6130913124974,127.099186989431
192,영업중,러스크서울병원,병원,서울특별시 중랑구 망우로 470 (망우동),37.6001433569352,127.104326339173
193,영업중,마디세상병원,병원,서울특별시 중랑구 동일로 890 (묵동),37.6099151597192,127.078189221962
194,영업중,로하스동서울요양병원,병원,"서울특별시 중랑구 봉화산로 194, 신아타운 4,5층 (신내동)",37.6064526315197,127.094707041869
200,영업중,한마음한방병원,병원,"서울특별시 성북구 종암로 129, 청한빌딩 4,5층 (종암동)",37.6014264034926,127.032727558227
201,영업중,호산여성병원,병원,"서울특별시 강남구 언주로 871, 호산병원 (신사동)",37.5285677154605,127.033354132164
202,영업중,의료법인 미소들노인전문병원,병원,"서울특별시 구로구 고척로21나길 88-41 (개봉동, 미소들병원)",37.5028978149919,126.841198898052
203,영업중,성북미올한방병원,병원,"서울특별시 성북구 동소문로 106, 유타 8~9층 (동선동1가)",37.5925747617089,127.017088831326
204,영업중,새마음요양병원,병원,서울특별시 성북구 동소문로 215 (정릉동),37.6013110492986,127.021466304531
205,영업중,더서울병원,병원,"서울특별시 성북구 아리랑로 16, 3~7층 (동선동4가)",,
206,영업중,플러스요양병원,병원,"서울특별시 성북구 솔샘로1길 19, 그린존 1~7층 (정릉동)",37.6082799327366,127.003908826541
207,영업중,의료법인참예원의료재단 성북참요양병원,병원,서울특별시 성북구 북악산로1길 71 (정릉동),37.5976570265011,127.005193513658
208,영업중,서울척병원,병원,서울특별시 성북구 동소문로47길 8 (길음동),37.6088705624212,127.029301707499
212,영업중,사회복지법인 성가소비녀회 성가복지병원,병원,서울특별시 성북구 종암로 191 (하월곡동),37.6069290291527,127.030683631101
219,영업중,성북우리아이들병원,병원,서울특별시 성북구 동소문로46길 10 (하월곡동),37.6068511674943,127.029329681119
220,영업중,꿈의숲요양병원,병원,서울특별시 강북구 월계로 183 (번동),37.6205757158557,127.044900910895
221,영업중,성북서울요양병원,병원,서울특별시 성북구 종암로 31 (종암동),37.5931057410869,127.035858243592
222,영업중,효성요양병원,병원,"서울특별시 강북구 삼양로 204 (미아동, 효성요양병원)",37.6220309133259,127.020454038954
223,영업중,경희치과병원,병원,"서울특별시 강북구 도봉로 358 (번동, 코스타타워)",37.6391358802369,127.027474954377
224,영업중,신일병원,병원,서울특별시 강북구 덕릉로 73 (수유동),37.6347745804936,127.021825891177
231,영업중,리솜한방병원,병원,"서울특별시 금천구 시흥대로79길 15, 리솜메디라이프 4~7층 (시흥동)",37.4588902854241,126.897681476166
232,영업중,포근한병원,병원,서울특별시 강북구 도봉로 266 (미아동),37.6322985747098,127.02417309812
233,영업중,강북우리병원,병원,"서울특별시 강북구 한천로 1083, 수유동 (수유동, 광산타워)",37.6425448823211,127.022634105373
234,영업중,강북으뜸병원,병원,"서울특별시 강북구 도봉로 187, 지하1층, 지상1층~지상5층 (미아동)",37.6254205559935,127.026184524499
235,영업중,북서울요양병원,병원,"서울특별시 강북구 한천로 1002, 북서울요양병원 (번동)",37.6381346270653,127.030017007593
239,영업중,에이치큐브병원,병원,서울특별시 도봉구 도봉로 604 (창동),37.6583143285943,127.041034393222
240,영업중,의성한방병원,병원,"서울특별시 도봉구 도봉로152길 26, 렉시온프라자 2, 3, 4층 (방학동)",37.6692305048563,127.045274099296
241,영업중,다나병원,병원,서울특별시 도봉구 해등로 129 (창동),37.6550518985483,127.040436964996
242,영업중,필치과병원,병원,"서울특별시 서초구 방배로 245, 3층 (방배동, 현대클리닉빌딩)",37.4947663077227,126.988863824402
243,영업중,경희늘푸른노인전문병원,병원,서울특별시 도봉구 시루봉로 137 (방학동),37.6631947626947,127.027370255997
244,영업중,로덴성문치과병원,병원,"서울특별시 도봉구 도봉로 569, 5층 (쌍문동, 준우빌딩)",37.6558968289656,127.038586135549
245,영업중,가화한방병원,병원,서울특별시 도봉구 도당로 51(방학동),37.662824153719,127.034388915797
246,영업중,퍼스트요양병원,병원,"서울특별시 도봉구 삼양로 616, 2-5층 (쌍문동)",,
247,영업중,희성한방병원,병원,"서울특별시 도봉구 방학로3길 6, SYO빌딩 1, 4층 (방학동)",37.6625507246319,127.040568535069
248,영업중,팔팔요양병원,병원,"서울특별시 도봉구 시루봉로 310, 화성빌딩 (도봉동)",37.6710214264697,127.04348189855
255,영업중,모아한방병원,병원,"서울특별시 노원구 동일로 987, 태릉마이크로병원건물 2,5,6,7층 (공릉동)",37.6182542034567,127.074941145603
263,영업중,자향한방병원,병원,"서울특별시 도봉구 덕릉로 215, 3~7층 (창동)",,
265,영업중,샤인치과교정과 치과병원,병원,"서울특별시 노원구 노해로 488, 근호빌딩 5층 502호 (상계동)",37.6543222923845,127.062168567542
266,영업중,새힘병원,병원,서울특별시 노원구 노원로 416(상계동),37.6536773594601,127.067905988941
267,영업중,인제대학교 상계백병원,병원,"서울특별시 노원구 동일로 1342, 상계백병원 (상계동)",37.6485819883224,127.063115737673
268,영업중,그레이스힐 요양병원,병원,"서울특별시 노원구 노원로 461, 대감프라자빌딩 3,4,5,6층 (상계동)",37.657441877009,127.06561735906
269,영업중,노원 강북예치과병원,병원,"서울특별시 노원구 노해로81길 5-6, 노원스퀘어 5-7층 (상계동)",37.6552060831882,127.062476980624
270,영업중,선의요양병원,병원,"서울특별시 노원구 동일로 1419, 9층~11층 (상계동)",37.6553094384019,127.059846120108
271,영업중,메디아이여성병원,병원,"서울특별시 노원구 노원로 448 (상계동, 메디아이여성병원)",37.6564723367144,127.0670480462
272,영업중,방병원,병원,"서울특별시 노원구 동일로 989, 1~9층 (공릉동)",,
273,영업중,강북연세병원,병원,서울특별시 노원구 동일로 996 (공릉동),37.6191955674915,127.075487711537
274,영업중,의료법인 행복나눔의료재단 사랑요양병원,병원,"서울특별시 노원구 동일로243길 45 (상계동, 사랑요양병원)",37.6784494401778,127.052600258604
275,영업중,다인치과병원,병원,"서울특별시 노원구 노해로 507, 5층 (상계동, 와우쇼핑몰)",37.6554272387774,127.063889081054
276,영업중,노원을지대학교병원,병원,"서울특별시 노원구 한글비석로 68, 을지병원 (하계동)",37.6361106543284,127.06968108866
277,영업중,금천한방병원,병원,"서울특별시 금천구 시흥대로73길 67, 4,6층 (시흥동)",,
278,영업중,노원자생한방병원,병원,"서울특별시 노원구 노해로 507, 7,8층 (상계동, 와우쇼핑몰)",,
279,영업중,노원솔요양병원,병원,"서울특별시 노원구 덕릉로 690, 기업은행 2,3,4,5층 (중계동)",37.6591744841062,127.07566552892
280,영업중,더조은요양병원,병원,서울특별시 노원구 화랑로 323 (월계동),37.6149040212444,127.063652106256
281,영업중,희망요양병원,병원,서울특별시 노원구 상계로26길 7 (상계동),37.6582410583107,127.070893536187
282,영업중,참다운요양병원,병원,"서울특별시 노원구 동일로 987, 지하1,1,3,4,6,8층 (공릉동)",37.6182542034567,127.074941145603
283,영업중,서울제일한방병원,병원,"서울특별시 노원구 노원로 461, 2층 (상계동)",37.657441877009,127.06561735906
284,영업중,서울미르한방병원,병원,"서울특별시 노원구 동일로197길 11, 공삼빌딩 2,3,4층 (공릉동)",37.6285094576574,127.070641890379
290,영업중,아카시아병원,병원,서울특별시 금천구 시흥대로114길 5 (독산동),37.4680878358447,126.898548517713
294,영업중,은평포레스트한방병원,병원,"서울특별시 은평구 통일로 636, 은평 미드스퀘어 4,5층 (녹번동)",37.603517115574,126.935311316206
302,영업중,은평요양병원,병원,서울특별시 은평구 통일로 935 (갈현동),37.6265091864519,126.919522794853
303,영업중,이우요양병원,병원,서울특별시 은평구 불광로13길 15 (불광동),37.6172143161916,126.932110648693
304,영업중,더웰샘한방병원,병원,"서울특별시 관악구 남현길 7, 한일프라자 4, 6층 (남현동)",37.4760625825389,126.977671473431
305,영업중,가톨릭대학교 은평성모병원,병원,서울특별시 은평구 통일로 1021 (진관동),37.6336094022541,126.916152525534
306,영업중,21C메트로한방병원,병원,"서울특별시 은평구 갈현로 24, 2층 201,202호 (신사동)",37.6000492809376,126.910468934803
307,영업중,서울특별시서북병원,병원,서울특별시 은평구 갈현로7길 49 (역촌동),37.6043567763756,126.905664235484
308,영업중,최원호병원,병원,"서울특별시 은평구 서오릉로 45, 최원호병원 (녹번동)",37.604769594378,126.923855760856
309,영업중,연세에덴요양병원,병원,서울특별시 은평구 통일로 669 (녹번동),37.6061501831794,126.933393863359
310,영업중,한국효요양병원,병원,"서울특별시 은평구 은평로 170, 6층,7층,8층 (응암동, 상현빌딩동)",37.6010893852841,126.926662375326
311,영업중,의료법인 성누가의료재단 성누가병원,병원,"서울특별시 은평구 통일로 726, 불광메디컬타워 1~12층 (불광동)",37.610530375217,126.930328513931
312,영업중,리드힐병원,병원,"서울특별시 은평구 연서로 10, 지하2~지상9층 (역촌동)",,
313,영업중,서울재활병원,병원,서울특별시 은평구 갈현로11길 30 (구산동),37.60561275596,126.906342824539
314,영업중,서울병원,병원,서울특별시 은평구 진흥로 191 (대조동),37.6088308110956,126.930739739666
315,영업중,본서부병원,병원,서울특별시 은평구 은평로 133 (응암동),37.6009323557961,126.922591585689
316,영업중,의료법인 청구성심병원,병원,서울특별시 은평구 통일로 873 (갈현동),37.6207901019252,126.919552747252
317,영업중,문치과병원,병원,서울특별시 은평구 통일로 809-1 (대조동),37.6161339587438,126.923731135085
318,영업중,연세노블병원,병원,서울특별시 은평구 서오릉로 37 (녹번동),37.6040399058057,126.924452636345
319,영업중,인정병원,병원,서울특별시 은평구 응암로 164 (응암동),37.5865882667176,126.91659126549
320,영업중,은평연세병원,병원,서울특별시 은평구 연서로 177 (갈현동),37.6146922208583,126.917472218592
321,영업중,활명한방병원,병원,"서울특별시 서대문구 수색로 102, 2~4층 (북가좌동, DMC요진아파트)",,
322,영업중,신촌면력한방병원,병원,"서울특별시 서대문구 연세로 12, 피델리아 타워 8~14층 (창천동)",37.556633214994,126.937200582487
323,영업중,하나효요양병원,병원,"서울특별시 은평구 서오릉로 149, 세웅그룹빌딩 3~9층 (구산동)",37.6115932839556,126.916212472705
328,영업중,서울중앙요양병원,병원,서울특별시 서대문구 충정로 71-5(충정로2가),37.5651932446514,126.965439258919
329,영업중,신촌힐링요양병원,병원,"서울특별시 서대문구 모래내로 330, 미도빌딩 (홍은동)",37.5797577190735,126.933744105762
330,영업중,강북연세요양병원,병원,서울특별시 서대문구 성산로 335 (연희동),37.5661781334512,126.927652047919
