idx,dtlstatenm,addr,nm,type,lat,lng
148,영업중,"서울특별시 은평구 은평로 160, 201호 (응암동, 경향렉스빌)",익스트림에스,학원,37.6007900164073,126.925702377167
149,영업중,"서울특별시 은평구 북한산로 2, 112호 (진관동, 은평뉴타운구파발)",레전드태권도멀티짐,학원,37.6422433283206,126.916235958975
150,영업중,"서울특별시 마포구 신촌로 196-1, 4층 (염리동, 이화빌딩)",수년복싱,학원,37.5566411383576,126.947525544723
151,영업중,"서울특별시 은평구 연서로 130, 대지빌딩 지층 (역촌동)",FA스포츠,학원,37.610282699939,126.917226001911
152,영업중,"서울특별시 은평구 가좌로 275-1, 2층 (신사동)",한국체대천마태권도장,학원,37.5930588782366,126.913157583414
153,영업중,"서울특별시 강서구 양천로 87, 대일빌딩 2층 일부호 (방화동)",동아태권도장,학원,37.5736086090089,126.813650452864
154,영업중,"서울특별시 은평구 은평로 46, 두원빌딩 (신사동)",크로스복싱클럽,학원,37.5983041339208,126.913096566963
155,영업중,"서울특별시 은평구 은평로8길 39 (응암동, 응암동하이포룸)",청룡태권도,학원,37.5969175986704,126.919051454645
156,영업중,"서울특별시 은평구 갈현로 181-11, 2층 (갈현동)",세종체육관(태권도),학원,37.6143091325963,126.911399847956
157,영업중,"서울특별시 은평구 갈현로 159, 2층 (구산동)",남일2체육관,학원,37.6120588582347,126.911206126462
158,영업중,"서울특별시 마포구 마포대로7길 12, 래미안 공덕3차 상가동 3층 (공덕동)",푸른경희태권도장,학원,37.5471966815362,126.952380317161
159,영업중,"서울특별시 은평구 통일로 780, 2층 (불광동, 미성아파트)",스타 익스트림 태권도,학원,37.6158621924384,126.928432696242
160,영업중,"서울특별시 은평구 통일로87길 19, 4층 (갈현동)",갈현화랑태권도장,학원,37.6232899269349,126.917516747435
161,영업중,"서울특별시 은평구 불광로 177, 지층 (불광동)",연신유도체육관,학원,37.622395393805,126.931088730114
162,영업중,"서울특별시 은평구 가좌로 269, 다보빌딩 3층 (신사동)",투혼정심관,학원,37.5926633414727,126.913646855472
163,영업중,"서울특별시 서초구 방배로 205, 대명빌딩 지하2층 (방배동)",주짓수&킥복싱 스퍼트GYM,학원,37.4915088027577,126.990928299196
164,영업중,"서울특별시 관악구 봉천로 226, 청우빌딩 3층 (신림동)",파이트아카데미,학원,37.4894284332553,126.92657470517
165,영업중,"서울특별시 성동구 왕십리로 257, 3층 2호 (행당동, 칠성빌딩)",성동태권도장,학원,37.5580442668262,127.038691012755
166,영업중,"서울특별시 관악구 난곡로 42, 502호 (신림동,파크프라자)",경희대 현대 태권도,학원,37.4605886655784,126.920617398646
167,영업중,"서울특별시 광진구 능동로 329, 지하층 (중곡동)",H2 복싱클럽,학원,37.5591471910131,127.080318456994
168,영업중,"서울특별시 관악구 관악로40길 47, 현대상가 407호 (봉천동)",현대 은가비 태권도장,학원,37.4920550488974,126.95892477375
169,영업중,"서울특별시 양천구 월정로 165, 2층 (신월동)",월정태권도장,학원,37.533534392125,126.835970359405
170,영업중,"서울특별시 성동구 난계로 32, 성산빌딩 3층 (금호동1가)",국가대표 태권 NEW 태권도장,학원,37.5551410652603,127.025029317419
171,영업중,"서울특별시 은평구 증산로15길 70, 승희빌딩 2층 (신사동)",한울태권도,학원,37.590780601266,126.90583423004
172,영업중,"서울특별시 은평구 통일로 1034, 판매시설동 2층 213,214호 (진관동, 은평 스카이뷰 자이)",RS복싱클럽,학원,37.6352810682306,126.917656215121
173,영업중,"서울특별시 은평구 진관4로 78-8, 701동 상가103호 (진관동, 은평뉴타운상림마을)",명성체육관,학원,37.6460949791009,126.928324494486
174,영업중,"서울특별시 은평구 가좌로 212-12, 지층 (응암동)",하나스포츠센터,학원,37.5897582523681,126.918691906331
175,영업중,"서울특별시 은평구 불광로 116, 2층 (불광동)",G.M 복싱 클럽,학원,37.617012920768,126.933013566497
176,영업중,"서울특별시 은평구 연서로 39, 지층 (역촌동)",531훈무,학원,37.6027287434305,126.915488928358
177,영업중,"서울특별시 은평구 수색로 300, 제상가2동 1층 501,502호 (수색동, DMC롯데캐슬더퍼스트)",국가대표 경희대 수색태권도장,학원,37.5850903459468,126.890441915048
178,영업중,"서울특별시 은평구 불광천길 410-3, B1층 (응암동)",은평인 검도교실,학원,37.5922733626674,126.915096411699
179,영업중,"서울특별시 은평구 통일로83길 6, B1층 (갈현동)",골드 레슬링,학원,37.6210909805559,126.91934581352
