idx,nm,addr,type,lat,lng
197,서울풍성초등학교,서울특별시 송파구 강동대로2길 13,학교,37.5263118815737,127.113492681415
198,서울풍납초등학교,서울특별시 송파구 풍성로 43,학교,37.5352940632209,127.117532366819
199,서울평화초등학교,서울특별시 송파구 송파대로26길 22,학교,37.4916183368483,127.122700488472
200,서울토성초등학교,서울특별시 송파구 풍성로20길 44,학교,37.5318963267968,127.115772382237
201,서울천호초등학교,서울특별시 강동구 구천면로 310-11,학교,37.5477189664877,127.136592330295
202,서울천일초등학교,서울특별시 강동구 구천면로 266,학교,37.5443612197289,127.133436718515
203,서울천동초등학교,서울특별시 강동구 성안로 200,학교,37.541015901733,127.137828727405
204,서울중대초등학교,서울특별시 송파구 송파대로36길 8,학교,37.4998119038214,127.113605457993
205,서울잠현초등학교,서울특별시 송파구 올림픽로37길 109,학교,37.5225858707847,127.104722782408
206,서울잠전초등학교,서울특별시 송파구 올림픽로12길 51,학교,37.5073349275982,127.083864376692
207,서울잠일초등학교,서울특별시 송파구 올림픽로 95,학교,37.5147416618092,127.081636216984
208,서울잠실초등학교,서울특별시 송파구 올림픽로35길 20,학교,37.5201410422976,127.110799789543
209,서울잠신초등학교,서울특별시 송파구 잠실로 32,학교,37.5141697474146,127.08797670792
210,서울잠동초등학교,서울특별시 송파구 올림픽로35길 122,학교,37.518364083155,127.099997855402
211,서울위례초등학교,서울특별시 강동구 명일로 23,학교,37.5223185221619,127.139436648101
212,서울오륜초등학교,서울특별시 송파구 양재대로 1196,학교,37.5124274792928,127.134396802963
213,서울오금초등학교,서울특별시 송파구 위례성대로22길 11,학교,37.5093704878322,127.131977915625
214,서울영풍초등학교,서울특별시 송파구 오금로57길 15,학교,37.4961862376383,127.143214689204
215,서울아주초등학교,서울특별시 송파구 올림픽로4길 59,학교,37.50578969665,127.075317277909
216,서울신천초등학교,서울특별시 송파구 올림픽로 215,학교,37.5140077737504,127.095036549398
217,서울신암초등학교,서울특별시 강동구 올림픽로93길 33-16,학교,37.5500236743432,127.124404356441
218,서울신명초등학교,서울특별시 강동구 명일로24길 33,학교,37.5409268527757,127.149979091111
219,서울신가초등학교,서울특별시 송파구 송이로 75,학교,37.5003207198096,127.119700425145
220,서울송파초등학교,서울특별시 송파구 백제고분로 400,학교,37.5069549745149,127.111247174893
221,서울송전초등학교,서울특별시 송파구 석촌호수로 159,학교,37.5088312569718,127.095121373383
222,서울송례초등학교,서울특별시 송파구 위례순환로 439,학교,37.4778940251025,127.13849585496
223,서울세륜초등학교,서울특별시 송파구 양재대로 1264,학교,37.5185748448001,127.134157724554
224,서울성일초등학교,서울특별시 강동구 성내로15길 33,학교,37.5297092388513,127.128408263098
225,서울성내초등학교,서울특별시 강동구 성내로3길 19,학교,37.5313578593416,127.122500139991
226,서울선사초등학교,서울특별시 강동구 올림픽로 837,학교,37.5558469097869,127.12819596827
227,서울선린초등학교,서울특별시 강동구 진황도로61길 29,학교,37.5297601213047,127.145594039357
228,서울석촌초등학교,서울특별시 송파구 가락로11길 26,학교,37.5026527756676,127.105238463221
229,서울상일초등학교,서울특별시 강동구 천호대로 1477,학교,37.5475721706533,127.17266348564
230,서울삼전초등학교,서울특별시 송파구 백제고분로28길 19,학교,37.5017012801562,127.093268133907
231,서울버들초등학교,서울특별시 송파구 석촌호수로 81,학교,37.5102185018601,127.089274587416
232,서울방이초등학교,서울특별시 송파구 위례성대로10길 4,학교,37.513512293639,127.120531131015
233,서울방산초등학교,서울특별시 송파구 오금로27길 42,학교,37.5095379215333,127.121190696197
234,서울문현초등학교,서울특별시 송파구 충민로 137,학교,37.482790915501,127.130257129876
235,서울문정초등학교,서울특별시 송파구 문정로5길 20,학교,37.4890774089099,127.129206175689
236,서울문덕초등학교,서울특별시 송파구 송이로34길 60,학교,37.4850521596354,127.127962742492
237,서울묘곡초등학교,서울특별시 강동구 동남로79길 46,학교,37.5587127850485,127.153093406496
238,서울명일초등학교,서울특별시 강동구 고덕로38길 8,학교,37.554553599981,127.142591145632
