name,type,detail_type,stable,aprove_day,address,road_address,sitearea,lat,lng
전광수커피 에스프레소 강북삼성병원점,휴게음식점,커피숍,01,2018-01-24,"서울특별시 종로구 새문안로 29, 강북삼성병원 지상2층 (평동)",서울특별시 종로구 새문안로 29,,37.5688677261045,126.967812703696
그린마일커피,휴게음식점,커피숍,01,2018-02-02,"서울특별시 종로구 북촌로 64, 1~2층 (가회동)",서울특별시 종로구 북촌로 64,74.18,37.5823911554272,126.985243330284
대성휴게실,휴게음식점,다방,01,2000-03-28,서울특별시 종로구 서순라길 17-21 (봉익동),서울특별시 종로구 서순라길 17-21,,37.5722435377345,126.993288558111
가배랑솜 인사동 카페,휴게음식점,다방,01,2000-04-10,서울특별시 종로구 인사동길 37 (관훈동),서울특별시 종로구 인사동길 37,120.99,37.5736724074846,126.985183922321
지하철,휴게음식점,다방,01,2000-04-24,서울특별시 종로구 동호로 408 (종로5가),서울특별시 종로구 동호로 408,,37.5707224672019,127.002228046083
딤 테크,휴게음식점,커피숍,01,2018-03-05,"서울특별시 종로구 대학로12길 46, 삼광빌딩 1층 (동숭동)",서울특별시 종로구 대학로12길 46,,37.5820571199944,127.00371635053
GS25 경희궁자이점,휴게음식점,커피숍,01,2018-03-08,,,,,
옐롱오렌지 (Yellong Orange),휴게음식점,커피숍,01,2024-08-19,"서울특별시 종로구 종로 19, 르메이에르종로타운1 지하1층 B120호 (종로1가)",서울특별시 종로구 종로 19,33.00,37.5708444878121,126.979923668151
카페 연희,휴게음식점,커피숍,01,2025-09-18,"서울특별시 마포구 월드컵북로16길 27, 1층 (성산동)",서울특별시 마포구 월드컵북로16길 27,13.86,37.5631601697951,126.915844451516
프리미엄플러스,휴게음식점,커피숍,01,2024-06-11,"서울특별시 종로구 효자로13길 45, 청와대사랑채 지상 2층 (효자동)",서울특별시 종로구 효자로13길 45,232.08,37.582544875368,126.973059283309
씨티오 (SITIO),휴게음식점,커피숍,01,2024-08-08,"서울특별시 종로구 동순라길 60-13, 지상 1층 (인의동)",서울특별시 종로구 동순라길 60-13,10.00,37.5734810336751,126.997284090164
공차 종로구청점,휴게음식점,커피숍,01,2024-08-07,"서울특별시 종로구 삼봉로 81, 두산위브파빌리온 지상 1층 107호 (수송동)",서울특별시 종로구 삼봉로 81,42.00,37.5725639351805,126.981506298154
프토빌,휴게음식점,커피숍,01,2025-04-03,"서울특별시 마포구 포은로 88, 1층 102호 (망원동)",서울특별시 마포구 포은로 88,22.00,37.5548885831921,126.905390392478
