stdr_yyqu_cd,adstrd_cd,adstrd_cd_nm,tot_flpop_co,ml_flpop_co,fml_flpop_co,agrde_10_flpop_co,agrde_20_flpop_co,agrde_30_flpop_co,agrde_40_flpop_co,agrde_50_flpop_co,agrde_60_above_flpop_co,tmzon_00_06_flpop_co,tmzon_06_11_flpop_co,tmzon_11_14_flpop_co,tmzon_14_17_flpop_co,tmzon_17_21_flpop_co,tmzon_21_24_flpop_co,mon_flpop_co,tues_flpop_co,wed_flpop_co,thur_flpop_co,fri_flpop_co,sat_flpop_co,sun_flpop_co
20214,11140580,장충동,2166825.0,1117242.0,1049583.0,125812.0,563217.0,412887.0,359868.0,310609.0,394431.0,472778.0,487781.0,333841.0,321649.0,329667.0,221108.0,316791.0,330922.0,333051.0,329578.0,323693.0,271408.0,261379.0
20214,11140590,광희동,5735433.0,3014882.0,2720550.0,286134.0,1129384.0,1206827.0,1092802.0,940145.0,1080141.0,923087.0,1206258.0,1003074.0,1016566.0,1033608.0,552839.0,850966.0,900276.0,911264.0,911564.0,902199.0,678116.0,581049.0
20214,11140605,을지로동,5162235.0,3095614.0,2066621.0,139304.0,780177.0,983094.0,1079710.0,1051103.0,1128845.0,469415.0,1148740.0,1127838.0,1121756.0,959204.0,335281.0,796710.0,876454.0,882667.0,881498.0,864031.0,505468.0,355406.0
20214,11140615,신당동,6048726.0,2955385.0,3093341.0,395189.0,1077013.0,1228600.0,1056150.0,1027359.0,1264414.0,1407351.0,1216298.0,821195.0,812207.0,1035448.0,756228.0,882195.0,913148.0,917189.0,909906.0,909061.0,790415.0,726810.0
20214,11140625,다산동,4106836.0,1934433.0,2172403.0,480106.0,643372.0,742194.0,668782.0,609862.0,962522.0,1028488.0,865399.0,516778.0,505759.0,676354.0,514060.0,596350.0,604817.0,605383.0,602897.0,599049.0,550257.0,548083.0
20214,11140635,약수동,2287893.0,1067897.0,1219996.0,285971.0,296830.0,380830.0,352213.0,338695.0,633354.0,562133.0,467184.0,277456.0,282135.0,402848.0,296138.0,325298.0,322894.0,322624.0,322211.0,323814.0,333072.0,337979.0
20214,11140645,청구동,3252604.0,1522664.0,1729941.0,511350.0,420719.0,553269.0,485530.0,505947.0,775789.0,868878.0,673095.0,385523.0,378304.0,530469.0,416338.0,465875.0,464573.0,464312.0,462723.0,462124.0,462603.0,470395.0
20214,11140650,신당5동,4862802.0,2262002.0,2600800.0,526476.0,759922.0,817675.0,775135.0,856551.0,1127043.0,1093113.0,959948.0,623842.0,651918.0,923039.0,610942.0,684613.0,692737.0,696612.0,693278.0,695753.0,707267.0,692542.0
20214,11140665,동화동,2454302.0,1157677.0,1296625.0,297530.0,319063.0,394665.0,397062.0,454224.0,591758.0,610921.0,490047.0,306085.0,316268.0,427039.0,303942.0,351841.0,351185.0,354076.0,352379.0,354277.0,347853.0,342692.0
20214,11140670,황학동,5927577.0,2769939.0,3157637.0,597118.0,939699.0,1250453.0,921454.0,883265.0,1335588.0,1481415.0,1241414.0,767403.0,769775.0,962888.0,704682.0,853982.0,851296.0,845493.0,849106.0,845547.0,847937.0,834215.0
20214,11140680,중림동,2176279.0,1076424.0,1099854.0,205548.0,293597.0,464285.0,442350.0,357804.0,412694.0,465061.0,470702.0,329772.0,325774.0,357015.0,227957.0,319594.0,333946.0,335174.0,333462.0,326630.0,268903.0,258570.0
