nm,type,apv_date,addr,floor,sitearea,lat,lng,flpop_type,trdar_cd,adstrd_cd
더빈스11(The Beans11),커피숍,2012-02-15,서울 서대문구 연희로2안길 7-3,,6.00,37.5606036476746,126.927616127346,TR,3110509,11410585
커피집(Coffee Zip),커피숍,2009-10-16,서울 송파구 올림픽로35길 93,1,23.64,37.5177732771804,127.10439265685,TR,3120227,11710710
커피좀비,커피숍,2012-01-26,서울 성동구 왕십리로 104,1,71.97,37.5468263604442,127.044886399347,TR,3120051,11200660
하이디하우스,커피숍,2012-02-27,서울 중구 다산로14길 17,1,39.66,37.5559716192005,127.012449722544,TR,3110054,11140645
챔프,커피숍,2012-03-05,서울 강남구 선릉로 815,-1,373.57,37.5248658226122,127.03932763326,TR,3120202,11680545
카페라네,커피숍,2012-03-05,서울 영등포구 경인로 846,,13.20,37.5156680341198,126.907665995469,TR,3130248,11560515
올 소울스,커피숍,2010-01-22,서울 종로구 세검정로6나길 1,,,37.6010769166888,126.962455148357,TR,3110005,11110550
로티보이 구로점,커피숍,2007-10-08,서울 금천구 벚꽃로 278,1,60.43,37.4794931161957,126.884634912937,TR,3120131,11545510
더커피샵(The coffee #),커피숍,2011-05-12,서울 중구 다산로 128-14,1,10.00,37.5547616677975,127.011580584174,TR,3120038,11140635
호밀밭의 호두꾼,커피숍,2009-06-17,서울 서초구 서초대로77길 58,1,10.56,37.5025724365785,127.024385107452,TR,3120187,11650531
이디야대림역점,커피숍,2012-04-02,서울 영등포구 도림로31길 2,1,78.90,37.4925465879116,126.895922332338,TR,3120142,11560720
써니빈커피,커피숍,2007-01-08,서울 금천구 가산디지털2로 98,1,12.04,37.4772339836706,126.881057813165,TR,3120131,11545510
신스커피(Shin.s Coffee),커피숍,2012-04-03,서울 중구 퇴계로 217,1,12.75,37.5624227137843,126.995931151636,TR,3120032,11140590
아리스타커피(ARISTA COFFEE),커피숍,2012-04-04,서울 중구 을지로 54-1,1,35.01,37.5659110563238,126.983839187466,TR,3120028,11140550
코피 발리,커피숍,2010-09-08,서울 종로구 이화장1길 3,1,,37.5772009989166,127.004673494634,TR,3110028,11110640
134-2,커피숍,2012-04-05,서울 종로구 대학로 79,1,,37.5782329840015,127.001951250279,AL,3110023,11110640
라루,커피숍,2010-03-16,서울 금천구 시흥대로63길 39,1,8.97,37.4551006429914,126.897387469893,TR,3110731,11545670
보야,커피숍,2012-04-06,서울 서초구 서초대로 240,1,49.96,37.4915770626912,127.00834349369,TR,3120169,11650530
카페베네 청량리1호점,커피숍,2010-05-14,서울 동대문구 전농동 591-1,-1,60.00,37.5816754094752,127.047529214164,TR,3120063,11230560
카페블라썸,커피숍,2012-04-23,서울 송파구 오금로49길 31,1,52.54,37.4991450177861,127.138404250786,TR,3111038,11710570
몽애,커피숍,2012-04-10,서울 강북구 노해로 9,,48.16,37.6364779745361,127.022825094948,TR,3120076,11305635
미스터빈(Mr.Bean),커피숍,2012-05-02,서울 중구 동호로11길 39,1,39.00,37.5535206613637,127.00921660106,TR,3120038,11140625
스치브카페,커피숍,2012-05-04,서울 중구 장충단로 263,8,36.36,37.5681156942942,127.008472686741,TR,3130038,11140590
해피커피,커피숍,2008-11-07,서울 성북구 오패산로 21,1,6.71,37.6041194415259,127.037068364923,AL,3110318,11290715
이디야커피,커피숍,2006-04-21,서울 종로구 삼일대로15길 13,1,,37.5687803685297,126.986738925326,TR,3120006,11110615
레뚜라(Letter to Latte),커피숍,2010-12-07,서울 성북구 길음로9길 50,-1,56.52,37.6026910997043,127.020946793788,AL,3110307,11290660
김.Coffee,커피숍,2012-05-08,서울 성북구 아리랑로4가길 8-8,,19.80,37.5955023179742,127.017336803828,TR,3110301,11290575
2카페(2Cafe),커피숍,2012-05-09,서울 동대문구 장한로14길 81,1,18.47,37.5668181232225,127.072180369911,AL,3110230,11230650
얼음나무,커피숍,2012-05-16,서울 서초구 신반포로47길 41,4,49.64,37.5122611785783,127.018639199889,TR,3120185,11650540
