listing_id,addr,lat,lng,business_type,transaction_type,sale_price,key_money,deposit,monthly_rent,maintenance_fee,size_m2,floor,flpop_type,trdar_cd,adstrd_cd
878557,서울특별시 강남구 신사동,37.5188815512777,127.023781951435,한식/고기집,월세,0,250000000,80000000,6500000,50000,102.48,1층,T,3120186,11680510
843691,서울특별시 강남구 역삼동,37.5065209407,127.0337850694,편의점/슈퍼,월세,0,0,100000000,3000000,300000,40.51,1층,T,3120194,11680640
868237,서울특별시 강남구 신사동,37.5189607271162,127.024333993514,사무실,월세,0,0,50000000,2900000,300000,70.71,3층,T,3120186,11680510
878450,서울특별시 강남구 논현동,37.5084632356,127.0347224325,카페/커피,월세,0,150000000,60000000,5400000,0,163.37,1층,T,3120194,11680531
878449,서울특별시 강남구 논현동,37.5112423869,127.0331447521,치킨/닭요리,월세,0,70000000,45000000,2850000,340000,79.34,1층,T,3110961,11680531
878448,서울특별시 강남구 논현동,37.510091465,127.0232407833,카페/커피,월세,0,80000000,40000000,2100000,200000,19.83,1층,T,3120185,11680521
878446,서울특별시 강남구 논현동,37.5173805242619,127.036349549921,일식/해산물,월세,0,190000000,50000000,4250000,0,126.87,2층,T,3110966,11680531
878443,서울특별시 강남구 논현동,37.513034799943,127.028480917929,노래방/PC방/당구장/기타,월세,0,250000000,42000000,4000000,0,279.13,지하2층,T,3120191,11680521
878440,서울특별시 강남구 신사동,37.5175484929,127.0215599282,양식/레스토랑,월세,0,100000000,100000000,5800000,500000,115.7,2층,T,3120186,11680510
878289,서울특별시 강남구 논현동,37.5166820171,127.0286723368,양식/레스토랑,월세,0,250000000,65000000,6500000,0,99.17,1층,T,3120190,11680521
878287,서울특별시 강남구 논현동,37.5173805242619,127.036349549921,기타주점,월세,0,150000000,50000000,4000000,0,106.28,1층,T,3110966,11680531
878274,서울특별시 강남구 논현동,37.5128766449949,127.039533873431,양식/레스토랑,월세,0,100000000,15000000,1500000,0,63.57,지하1층,T,3110970,11680531
798486,서울특별시 강남구 신사동,37.5173936036,127.021098371,기타주점,월세,0,390000000,150000000,13600000,500000,213.9,1층,T,3120186,11680510
878159,서울특별시 강남구 논현동,37.5117680061,127.0351085284,퓨전/쌀국수,월세,0,25000000,20000000,1900000,0,30.25,1층,T,3120196,11680531
878093,서울특별시 강남구 논현동,37.5111091372254,127.038188106398,기타,월세,0,100000000,30000000,1700000,0,33.06,1층,T,3110970,11680531
878077,서울특별시 강남구 논현동,37.5073559623137,127.02608045966,한식/고기집,월세,0,50000000,50000000,5000000,250000,88.23,1층,T,3120187,11680521
878011,서울특별시 강남구 논현동,37.5148576776,127.0314541949,퓨전/쌀국수,월세,0,100000000,70000000,7900000,0,274.95,지하1층,T,3120191,11680531
863242,서울특별시 강남구 논현동,37.507261451658,127.024370459235,사무실,월세,0,0,25000000,1900000,500000,100.76,3층,T,3120187,11680521
877697,서울특별시 서초구 반포동,37.5091652265931,127.020857745851,카페/커피,월세,0,30000000,30000000,3400000,200000,69.42,5층,T,3120176,11650560
877694,서울특별시 서초구 잠원동,37.5112598734,127.0193186085,기타주점,월세,0,10000000,60000000,5200000,0,264.46,지하1층,T,3120185,11650540
876571,서울특별시 강남구 논현동,37.5191469344,127.029596327,카페/커피,월세,0,25000000,10000000,1500000,0,16.53,1층,T,3120190,11680531
870702,서울특별시 강남구 논현동,37.5095288806,127.0384191645,편의점/슈퍼,매매,140000,0,0,0,0,61.05,지하1층,T,3110971,11680531
877518,서울특별시 강남구 논현동,37.5109810821791,127.02600085002,기타,매매,930000,0,0,0,0,429.99,1층,T,3110952,11680521
877517,서울특별시 강남구 논현동,37.5109810821791,127.02600085002,기타,월세,0,0,200000000,20000000,0,429.99,1층,T,3110952,11680521
790037,서울특별시 강남구 논현동,37.5091545258,127.0226975963,사무실,월세,0,0,50000000,5000000,500000,99.17,12층,T,3120185,11680521
864398,서울특별시 강남구 논현동,37.5142855148,127.0404214081,카페/커피,월세,0,30000000,20000000,2200000,0,31.59,1층,T,3110968,11680531
419277,서울특별시 강남구 논현동,37.5109350019529,127.022218565558,일식/해산물,월세,0,70000000,30000000,2300000,100000,52.9,1층,T,3120185,11680521
822490,서울특별시 강남구 논현동,37.5082296052,127.0325055245,중식,월세,0,70000000,40000000,2200000,100000,39.9,지하1층,T,3120194,11680521
585329,서울특별시 강남구 논현동,37.5072440303,127.0245247227,사무실,월세,0,0,32000000,2200000,300000,92.6,4층,T,3120187,11680521
871878,서울특별시 강남구 신사동,37.519003936,127.0245240463,기타,월세,0,30000000,20000000,2500000,0,115.7,지하1층,T,3120186,11680510
843894,서울특별시 강남구 논현동,37.5107654721,127.0229559655,미용/네일/피부관리,월세,0,30000000,20000000,1530000,300000,59.5,3층,T,3120185,11680521
860531,서울특별시 강남구 논현동,37.5072440303,127.0245247227,기타,월세,0,0,32000000,2300000,300000,79.34,4층,T,3120187,11680521
846484,서울특별시 강남구 역삼동,37.5041216040012,127.03100986052,기타,월세,0,0,500000000,41000000,0,737.19,1층,T,3110956,11680640
874968,서울특별시 강남구 신사동,37.5207649868,127.030185195,사무실,월세,0,0,70000000,5500000,2230000,191.2,6층,T,3120190,11680545
874104,서울특별시 강남구 논현동,37.5097971936607,127.033080774592,요가/마사지,월세,0,120000000,10000000,7000000,600000,215.89,3층,T,3120194,11680531
868805,서울특별시 강남구 논현동,37.513561322877,127.039787601144,기타,월세,0,80000000,120000000,11000000,0,276.44,1층,T,3110970,11680531
729917,서울특별시 강남구 논현동,37.5144988093846,127.025042884901,기타,월세,0,0,200000000,12000000,800000,333.35,지하1층,T,3110950,11680521
